date,city,location,restaurant,dish_name,price,units_sold,weather_condition
2024-06-20,Delhi,Lajpat Nagar,Biryani Blues,Paneer Butter Masala,220,150,Humid
2024-01-26,Delhi,Connaught Place,Delhi Darbar,Paneer Butter Masala,220,89,Rainy
2024-02-09,Delhi,Hauz Khas,The Spice Route,Chole Bhature,120,52,Cool
2024-01-15,Delhi,Vasant Kunj,Local Zaika,Amritsari Kulcha,160,91,Sunny
2024-03-05,Delhi,Rohini,The Spice Route,Dal Makhani,180,22,Rainy
2024-04-11,Delhi,Lajpat Nagar,Local Zaika,Butter Naan,40,61,Rainy
2024-04-16,Delhi,Karol Bagh,Biryani Blues,Aloo Tikki,80,128,Humid
2024-01-27,Delhi,Chandni Chowk,Haldiram's,Paneer Butter Masala,220,138,Humid
2024-06-23,Delhi,Janakpuri,Delhi Darbar,Amritsari Kulcha,160,143,Sunny
2024-01-28,Delhi,Vasant Kunj,Zaika-e-Dilli,Chole Bhature,120,79,Rainy
2024-01-29,Delhi,Chandni Chowk,Biryani Blues,Momos,100,19,Cloudy
2024-05-22,Delhi,Saket,Local Zaika,Dal Makhani,180,12,Cloudy
2024-02-09,Delhi,Connaught Place,Local Zaika,Amritsari Kulcha,160,88,Cool
2024-01-28,Delhi,Connaught Place,Biryani Blues,Chole Bhature,120,119,Cloudy
2024-05-06,Delhi,Vasant Kunj,Zaika-e-Dilli,Butter Naan,40,43,Sunny
2024-04-25,Delhi,Karol Bagh,Haldiram's,Rajma Chawal,140,135,Rainy
2024-01-13,Delhi,Dwarka,Zaika-e-Dilli,Chicken Biryani,250,75,Sunny
2024-06-09,Delhi,Karol Bagh,Delhi Darbar,Momos,100,84,Humid
2024-01-03,Delhi,Chandni Chowk,Flavors of Delhi,Paneer Butter Masala,220,46,Humid
2024-03-01,Delhi,Saket,Punjab Grill,Paneer Butter Masala,220,49,Humid
2024-06-06,Delhi,Lajpat Nagar,Delhi Darbar,Momos,100,60,Humid
2024-01-21,Delhi,Saket,Zaika-e-Dilli,Chicken Biryani,250,18,Rainy
2024-05-20,Delhi,Chandni Chowk,The Spice Route,Dal Makhani,180,61,Cool
